ejecucion,generacion,mejor,promedio,peor
3,3,-0.004278,-3.216487,-11.210113
3,4,-0.004278,-1.878788,-7.618126
3,5,-0.004278,-1.393039,-5.795063
3,6,-0.004278,-1.362709,-7.982807
3,7,-0.004278,-1.229486,-4.534415
3,8,-0.004278,-0.956250,-4.085693
3,9,-0.004278,-0.990056,-3.918523
3,10,-0.004278,-0.750625,-3.252699
3,11,-0.004278,-0.810798,-3.518440
3,12,-0.004278,-0.579936,-2.578228
3,13,-0.004278,-0.566971,-2.974852
3,14,-0.004278,-0.349389,-3.196099
3,15,-0.004018,-0.191318,-1.262288
3,16,-0.004018,-0.116199,-0.629100
3,17,-0.003960,-0.082923,-0.741536
3,18,-0.003960,-0.041705,-0.224647
3,19,-0.003960,-0.047729,-0.177778
3,20,-0.003960,-0.056150,-0.240534
3,21,-0.003960,-0.054934,-0.345913
3,22,-0.003875,-0.048468,-0.247995
3,23,-0.003875,-0.060978,-0.203778
3,24,-0.003276,-0.056219,-0.261881
3,25,-0.003276,-0.050023,-0.243114
3,26,-0.003276,-0.054991,-0.188999
3,27,-0.003276,-0.052718,-0.190723
3,28,-0.003276,-0.068223,-0.189309
3,29,-0.003276,-0.056963,-0.191198
3,30,-0.003276,-0.080588,-0.331118
3,31,-0.003276,-0.073590,-0.331560
3,32,-0.003276,-0.076721,-0.312345
3,33,-0.003276,-0.066688,-0.321386
3,34,-0.003260,-0.059874,-0.320551
3,35,-0.003260,-0.067045,-0.335333
3,36,-0.003260,-0.061702,-0.311740
3,37,-0.003260,-0.041700,-0.235499
3,38,-0.003260,-0.035040,-0.119421
3,39,-0.003260,-0.046376,-0.307514
3,40,-0.003260,-0.040578,-0.156601
3,41,-0.003260,-0.046042,-0.282204
3,42,-0.003260,-0.037636,-0.143316
3,43,-0.003260,-0.040382,-0.191027
3,44,-0.003089,-0.054895,-0.264709
3,45,-0.003089,-0.049935,-0.142477
3,46,-0.003044,-0.043573,-0.155850
3,47,-0.003044,-0.058704,-0.245000
3,48,-0.003044,-0.050621,-0.317392
3,49,-0.003044,-0.050462,-0.205901
3,50,-0.003044,-0.060221,-0.313840
3,51,-0.003044,-0.063835,-0.350297
3,52,-0.003044,-0.067731,-0.222963
3,53,-0.003031,-0.049593,-0.171018
3,54,-0.003031,-0.045358,-0.178018
3,55,-0.003031,-0.048918,-0.162963
3,56,-0.002984,-0.077952,-0.312380
3,57,-0.002984,-0.062002,-0.326111
3,58,-0.002984,-0.062982,-0.390457
3,59,-0.002984,-0.057945,-0.318919
3,60,-0.002984,-0.074474,-0.407928
3,61,-0.002984,-0.090554,-0.316629
3,62,-0.002984,-0.090727,-0.564341
3,63,-0.002984,-0.085335,-0.346608
3,64,-0.002984,-0.084358,-0.525379
3,65,-0.002984,-0.092621,-0.507887
3,66,-0.002984,-0.069840,-0.311238
3,67,-0.002984,-0.090691,-0.469642
3,68,-0.002984,-0.091580,-0.544569
3,69,-0.002984,-0.075207,-0.250323
3,70,-0.002944,-0.053611,-0.278775
3,71,-0.002944,-0.096757,-0.462771
3,72,-0.002944,-0.093868,-0.526574
3,73,-0.002944,-0.067125,-0.394847
3,74,-0.002944,-0.063999,-0.238346
3,75,-0.002944,-0.071173,-0.266668
3,76,-0.002944,-0.084287,-0.371113
3,77,-0.002944,-0.053866,-0.205480
3,78,-0.002944,-0.059995,-0.324323
3,79,-0.002944,-0.069938,-0.314223
3,80,-0.002944,-0.050287,-0.346513
3,81,-0.002944,-0.050098,-0.161112
3,82,-0.002944,-0.045740,-0.216460
3,83,-0.002944,-0.040942,-0.214234
3,84,-0.002944,-0.054999,-0.197157
3,85,-0.002944,-0.061800,-0.217881
3,86,-0.002944,-0.046828,-0.251709
3,87,-0.002944,-0.037679,-0.133437
3,88,-0.002944,-0.053253,-0.295343
3,89,-0.002828,-0.048541,-0.189528
3,90,-0.002828,-0.041702,-0.157039
3,91,-0.002828,-0.038393,-0.196281
3,92,-0.002828,-0.035483,-0.211793
3,93,-0.002828,-0.049642,-0.382469
3,94,-0.002828,-0.034818,-0.222748
3,95,-0.002229,-0.066577,-0.426582
3,96,-0.002229,-0.049831,-0.308200
3,97,-0.002229,-0.055034,-0.282800
3,98,-0.002229,-0.071253,-0.430794
3,99,-0.002229,-0.068077,-0.348422
3,100,-0.002229,-0.075076,-0.362845
3,101,-0.002229,-0.062433,-0.269162
3,102,-0.002229,-0.063070,-0.269065
3,103,-0.002229,-0.063709,-0.344566
3,104,-0.002229,-0.053361,-0.272890
3,105,-0.002229,-0.054478,-0.170676
3,106,-0.002229,-0.057242,-0.256167
3,107,-0.002229,-0.050237,-0.222474
3,108,-0.002229,-0.062638,-0.267609
3,109,-0.002229,-0.075547,-0.304919
3,110,-0.002223,-0.074291,-0.439049
3,111,-0.002223,-0.060430,-0.172345
3,112,-0.002223,-0.072012,-0.288983
3,113,-0.002223,-0.070860,-0.252901
3,114,-0.002223,-0.065731,-0.465752
3,115,-0.002223,-0.061600,-0.349782
3,116,-0.002223,-0.056531,-0.277889
3,117,-0.002223,-0.072280,-0.287938
3,118,-0.002223,-0.101068,-0.358307
3,119,-0.002223,-0.081113,-0.319208
3,120,-0.002223,-0.064068,-0.571678
3,121,-0.002223,-0.073902,-0.461437
3,122,-0.002223,-0.075587,-0.323600
3,123,-0.002223,-0.070330,-0.308928
3,124,-0.002223,-0.043266,-0.269151
3,125,-0.002223,-0.057399,-0.604627
3,126,-0.002223,-0.057263,-0.229735
3,127,-0.002223,-0.049043,-0.289373
3,128,-0.002223,-0.035345,-0.300890
3,129,-0.002223,-0.030938,-0.149933
3,130,-0.002223,-0.034041,-0.149483
3,131,-0.002223,-0.029013,-0.119975
3,132,-0.002223,-0.033837,-0.145061
3,133,-0.002223,-0.033750,-0.172843
3,134,-0.002223,-0.042916,-0.198081
3,135,-0.002223,-0.034103,-0.135499
3,136,-0.002223,-0.047291,-0.329523
3,137,-0.002223,-0.043171,-0.167662
3,138,-0.002223,-0.047679,-0.261864
3,139,-0.002223,-0.058769,-0.363124
3,140,-0.002223,-0.061291,-0.310116
3,141,-0.002223,-0.050360,-0.345728
3,142,-0.002223,-0.025524,-0.096695
3,143,-0.002223,-0.027029,-0.107367
3,144,-0.002223,-0.040700,-0.238928
3,145,-0.002223,-0.041312,-0.170738
3,146,-0.002223,-0.048333,-0.168911
3,147,-0.002223,-0.062241,-0.451219
3,148,-0.002223,-0.055447,-0.180342
3,149,-0.002223,-0.046416,-0.300844
3,150,-0.002223,-0.047652,-0.282277
3,151,-0.002223,-0.048942,-0.250000
